title,company_standardized,location_standardized,source,seniority_level,job_type,work_arrangement,salary_min_parsed,salary_max_parsed,salary_midpoint,salary_range,is_remote,has_salary,post_date_str,description_length,title_word_count,required_skills,url,scraped_at_str,source_id,company,location,description,post_date,scraped_at,salary,salary_min,salary_max,contract_type,category,job_hash
Principal Machine Learning Engineer,Nike,"West Slope, Washington County",adzuna,Senior,Full-time,On-site,232330.45,232330.45,232330.45,"$232,330-$232,330",False,True,2025-12-20,500,4,"scala, r",https://www.adzuna.com/land/ad/5550547609?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=F2F6AC831EB44BB30D5180CCF93487A80AF382A1,2025-12-21 23:43:15,5550547609,Nike,"West Slope, Washington County","WHO WE ARE LOOKING FOR We're looking for a Principal Machine Learning Engineer to lead and elevate our machine learning capabilities within Nike's Consumer Product & Innovation organization. This role is for a seasoned expert who thrives on building scalable ML solutions, mentoring others, and driving innovation from concept to production. You'll own ML Ops strategy, guide technical direction, and ensure our models deliver impact at global scale. You bring deep experience across a range of mach…",2025-12-20,2025-12-21T23:43:15.473339,"$232,330 - $232,330",232330.45,232330.45,Full-time,IT Jobs,382695990d16b14251e9418bedeb8599
Graduate (Year-Round) Intern: Geospatial Data Science Modeling and Analysis,National Renewable Energy Laboratory,"Eldorado Springs, Boulder County",adzuna,Junior,Full-time,On-site,87410.55,87410.55,87410.55,"$87,411-$87,411",False,True,2025-12-20,500,9,r,https://www.adzuna.com/land/ad/5550547088?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=961237D0581606217A8F9A0ABECD41F4A8F6B0B2,2025-12-21 23:43:15,5550547088,National Renewable Energy Laboratory,"Eldorado Springs, Boulder County","Posting Title Graduate (Year-Round) Intern: Geospatial Data Science Modeling and Analysis . Location CO - Golden . Position Type Intern (Fixed Term) . Hours Per Week 40 . Working at NLR NLR is located at the foothills of the Rocky Mountains in Golden, Colorado is the nation's primary laboratory for energy systems research and development. Join the National Laboratory of the Rockies (NLR), where world-class scientists, engineers, and experts are accelerating energy innovation through breakthroug…",2025-12-20,2025-12-21T23:43:15.473339,"$87,411 - $87,411",87410.55,87410.55,Full-time,Graduate Jobs,035a8908fd9a1c84f2e1ad2fd49cb60e
"Director, PX & Office of CEO Forward Deployed Engineer",Pfizer,"Quaker Hill, New London County",adzuna,Director,Full-time,On-site,313632.53,313632.53,313632.53,"$313,633-$313,633",False,True,2025-12-20,500,9,r,https://www.adzuna.com/land/ad/5550546765?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=A347B5AD3D6D2B11CA94E99303C2F0AA163E4A1F,2025-12-21 23:43:15,5550546765,Pfizer,"Quaker Hill, New London County","The Forward Deployed Engineer (FDE) is a hands-on technologist and trusted innovation partner to People Experience (PX), Global Workspace Experience (GWE), Global Security (GS) and Office of CEO -embedded at the intersection of global business processes, transactional data and enterprise technology. Operating within Pfizer Digital & Technology's Enabling Functions (EF) Forward Impact Engineering team, this role translates bold ideas into working AI and data-driven prototypes that accelerate the…",2025-12-20,2025-12-21T23:43:15.473339,"$313,633 - $313,633",313632.53,313632.53,Full-time,IT Jobs,eab0e8b2d02f4bee96a0b21062dba6a7
Data Scientist (Technical Leadership),Meta,"Five Points, Wake County",adzuna,Senior,Full-time,On-site,117060.41,117060.41,117060.41,"$117,060-$117,060",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550545697?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=9060C49E2B047B06841CFBB60D1EAF7C62FB5178,2025-12-21 23:43:15,5550545697,Meta,"Five Points, Wake County","Summary: We are seeking experienced Data Scientists to join our team and drive impact across various product areas. As a Data Scientist, you will collaborate with cross-functional partners to identify and solve complex problems using data and analysis. Your role will involve shaping product development, quantifying new opportunities, and ensuring products bring value to users and the company. You will guide teams using data-driven insights, develop hypotheses, and employ rigorous analytical app…",2025-12-20,2025-12-21T23:43:15.473339,"$117,060 - $117,060",117060.41,117060.41,Full-time,IT Jobs,33389c8d2defab5940aa36c8a308e786
"Data Engineering Manager, Analytics (Monetization)",Meta,"Five Points, Wake County",adzuna,Manager,Full-time,On-site,109353.26,109353.26,109353.26,"$109,353-$109,353",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550545602?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=344C28977CC232895240624D2A2EC783CEB4A565,2025-12-21 23:43:15,5550545602,Meta,"Five Points, Wake County","Summary: We're looking for a leader in our Data Engineering team to work closely with Product Managers, Data Scientists and Software Engineers to support product launches and roadmaps by building the data architecture that informs and drives insight. In this role, there will be a direct link between your work, company growth, and user satisfaction. You'll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and …",2025-12-20,2025-12-21T23:43:15.473339,"$109,353 - $109,353",109353.26,109353.26,Full-time,IT Jobs,6f3da974ad3bd34894ec98d051411a63
"Data Scientist, Senior",Intermountain Health,"Cammack Village, Pulaski County",adzuna,Senior,Full-time,On-site,225764.05,225764.05,225764.05,"$225,764-$225,764",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550545581?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=3DCA8B240060913852A7055A571E59A2C8D1EB6E,2025-12-21 23:43:15,5550545581,Intermountain Health,"Cammack Village, Pulaski County","Job Description: The Senior Data Scientist uses industry leading advanced analytics and data science practices to deliver on Intermountain Healthcare's mission to 'Help people live the healthiest lives possible'; making healthcare more affordable and higher quality; and making a difference in the patients and communities we serve. Data Scientists use statistics, machine learning, and AI to discover insights and make recommendations for key business decisions. Position Details: Building an in-ho…",2025-12-20,2025-12-21T23:43:15.473339,"$225,764 - $225,764",225764.05,225764.05,Full-time,IT Jobs,05c0e2e7db9be87d20e40cfee3898aab
"Data Scientist, Product Analytics",Meta,"Five Points, Wake County",adzuna,Mid-level,Full-time,On-site,157470.03,157470.03,157470.03,"$157,470-$157,470",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550545632?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=7E1A3D548BD5445A0C693FD4F8666484754D09DA,2025-12-21 23:43:15,5550545632,Meta,"Five Points, Wake County","Summary: As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array o…",2025-12-20,2025-12-21T23:43:15.473339,"$157,470 - $157,470",157470.03,157470.03,Full-time,IT Jobs,6f509cd3a48c973f6af55d2131eec983
"Salesforce Configure, Price, Quote (CPQ) Senior Manager",Deloitte,"Charlotte, Mecklenburg County",adzuna,Senior,Full-time,On-site,151865.69,151865.69,151865.69,"$151,866-$151,866",False,True,2025-12-20,500,7,r,https://www.adzuna.com/land/ad/5550545144?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=ACF111AA9F8675C63ED5F088AE4B77B82CAC095C,2025-12-21 23:43:15,5550545144,Deloitte,"Charlotte, Mecklenburg County","Salesforce CPQ Senior Manager Our Deloitte Customer team empowers organizations to build deeper relationships with customers through innovative strategies, advanced analytics, Generative AI, transformative technologies, and creative design. We can enhance customer experiences and drive sustained growth and customer value creation and capture, through customer and commercial strategies, digital products and innovation, marketing, commerce, sales, and service. We are a team of strategists, data s…",2025-12-20,2025-12-21T23:43:15.473339,"$151,866 - $151,866",151865.69,151865.69,Full-time,Consultancy Jobs,2b7f4a3e56c121d7ca495b4c8388a50b
Onshore NetSuite POD lead,Deloitte,"Five Points, Wake County",adzuna,Senior,Full-time,On-site,68765.69,68765.69,68765.69,"$68,766-$68,766",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550545165?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=6D86A3D1470400461AEF91696E770FD81DDB9036,2025-12-21 23:43:15,5550545165,Deloitte,"Five Points, Wake County","Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced NetSuite POD Lead you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/R…",2025-12-20,2025-12-21T23:43:15.473339,"$68,766 - $68,766",68765.69,68765.69,Full-time,IT Jobs,20802de7e258f312c03e48386e69ae34
AI Solutions Leader,Deloitte,"Five Points, Wake County",adzuna,Senior,Full-time,On-site,156147.92,156147.92,156147.92,"$156,148-$156,148",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550545132?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=507755D29185341ED0BA43D4AA0F59EF8664EFBD,2025-12-21 23:43:15,5550545132,Deloitte,"Five Points, Wake County","The Human Capital Offering Portfolio focuses on helping organizations manage and sustain their performance through their most important asset: their people. To stay in front, organizations need to have real-time access to Human Capital insights, experts and innovative technology solutions that are designed to not only drive but sustain and extend organizational performance and engagement. Supporting the products and capabilities of the Human Capital Offering Portfolio, our Engineering team is f…",2025-12-20,2025-12-21T23:43:15.473339,"$156,148 - $156,148",156147.92,156147.92,Full-time,IT Jobs,8d81fd6080da493f519e6a13f80bdbd0
Onshore SalesForce Lead,Deloitte,"Charlotte, Mecklenburg County",adzuna,Senior,Full-time,On-site,101329.57,101329.57,101329.57,"$101,330-$101,330",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550545171?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=BCF9CE608AAE7A5148269E276EA4141AAAD2703E,2025-12-21 23:43:15,5550545171,Deloitte,"Charlotte, Mecklenburg County","Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced Salesforce CRMRCA Specialist you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work …",2025-12-20,2025-12-21T23:43:15.473339,"$101,330 - $101,330",101329.57,101329.57,Full-time,IT Jobs,4ff34c9607ec2d84b0198938c7fe2e79
Onshore SalesForce CRM  RCA Functional,Deloitte,"Charlotte, Mecklenburg County",adzuna,Mid-level,Full-time,On-site,83347.62,83347.62,83347.62,"$83,348-$83,348",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550545128?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=44D7C88EC175C7CF89DAD29C3E2211F7F87F3FE8,2025-12-21 23:43:15,5550545128,Deloitte,"Charlotte, Mecklenburg County","Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced Salesforce CRMRCA Analyst you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you…",2025-12-20,2025-12-21T23:43:15.473339,"$83,348 - $83,348",83347.62,83347.62,Full-time,IT Jobs,c0970f612684a65bafad149cf087aa9f
Onshore NetSuite POD lead,Deloitte,"Charlotte, Mecklenburg County",adzuna,Senior,Full-time,On-site,60316.41,60316.41,60316.41,"$60,316-$60,316",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550545172?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=A1FB57DC19A8E4DD92F91E31B45B02A55FD8ABAA,2025-12-21 23:43:15,5550545172,Deloitte,"Charlotte, Mecklenburg County","Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced NetSuite POD Lead you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/R…",2025-12-20,2025-12-21T23:43:15.473339,"$60,316 - $60,316",60316.41,60316.41,Full-time,IT Jobs,f7680c791b2e6504a84826f6255c4da1
AI Solutions Leader,Deloitte,"Charlotte, Mecklenburg County",adzuna,Senior,Full-time,On-site,136962.08,136962.08,136962.08,"$136,962-$136,962",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550545176?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=5C7B68DF5D52C234C64074A40B6A552B14AAFA2A,2025-12-21 23:43:15,5550545176,Deloitte,"Charlotte, Mecklenburg County","The Human Capital Offering Portfolio focuses on helping organizations manage and sustain their performance through their most important asset: their people. To stay in front, organizations need to have real-time access to Human Capital insights, experts and innovative technology solutions that are designed to not only drive but sustain and extend organizational performance and engagement. Supporting the products and capabilities of the Human Capital Offering Portfolio, our Engineering team is f…",2025-12-20,2025-12-21T23:43:15.473339,"$136,962 - $136,962",136962.08,136962.08,Full-time,IT Jobs,983166ec9049e3b384f5f3f3765ffd43
Onshore SalesForce Lead,Deloitte,"Five Points, Wake County",adzuna,Senior,Full-time,On-site,115524.07,115524.07,115524.07,"$115,524-$115,524",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550545100?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=CD158BDE86BB62FADE41AD25491B8F8FE93A0E18,2025-12-21 23:43:15,5550545100,Deloitte,"Five Points, Wake County","Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced Salesforce CRMRCA Specialist you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work …",2025-12-20,2025-12-21T23:43:15.473339,"$115,524 - $115,524",115524.07,115524.07,Full-time,IT Jobs,5b4eb0a843711eac66d4b68f25cf1f10
Onshore Oracle Field Service Lead,Deloitte,"Five Points, Wake County",adzuna,Senior,Full-time,On-site,97091.39,97091.39,97091.39,"$97,091-$97,091",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550545084?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=EAC3F447CAA784E4ADAAD7B0C083F2D50121964E,2025-12-21 23:43:15,5550545084,Deloitte,"Five Points, Wake County","Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced Oracle Field Service Lead you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you…",2025-12-20,2025-12-21T23:43:15.473339,"$97,091 - $97,091",97091.39,97091.39,Full-time,IT Jobs,d8fd75f843fa32a0f92b85f3f590d255
"Salesforce Configure, Price, Quote (CPQ) Senior Manager",Deloitte,"Five Points, Wake County",adzuna,Senior,Full-time,On-site,173139.1,173139.1,173139.1,"$173,139-$173,139",False,True,2025-12-20,500,7,r,https://www.adzuna.com/land/ad/5550545092?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=1E9377E8682219E3A028A98EABAD7BD7A49DE3A3,2025-12-21 23:43:15,5550545092,Deloitte,"Five Points, Wake County","Salesforce CPQ Senior Manager Our Deloitte Customer team empowers organizations to build deeper relationships with customers through innovative strategies, advanced analytics, Generative AI, transformative technologies, and creative design. We can enhance customer experiences and drive sustained growth and customer value creation and capture, through customer and commercial strategies, digital products and innovation, marketing, commerce, sales, and service. We are a team of strategists, data s…",2025-12-20,2025-12-21T23:43:15.473339,"$173,139 - $173,139",173139.1,173139.1,Full-time,Consultancy Jobs,a3da78a7e4a136f79fdf111f728f57ba
Insights and Analytics Senior Consultant,Deloitte,"Charlotte, Mecklenburg County",adzuna,Senior,Full-time,On-site,105002.85,105002.85,105002.85,"$105,003-$105,003",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550545037?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=B3A9993BB36D2909FACE78361303772A60DC63D8,2025-12-21 23:43:15,5550545037,Deloitte,"Charlotte, Mecklenburg County","Insights and Analytics Senior Consultant Our Deloitte Customer team empowers organizations to build deeper relationships with customers through innovative strategies, advanced analytics, Generative AI, transformative technologies, and creative design. We can enhance customer experiences and drive sustained growth and customer value creation and capture, through customer and commercial strategies, digital products and innovation, marketing, commerce, sales, and service. We are a team of strategi…",2025-12-20,2025-12-21T23:43:15.473339,"$105,003 - $105,003",105002.85,105002.85,Full-time,"PR, Advertising & Marketing Jobs",90111bf4e9a03a127f6f035b894ac177
AI Datacenter & Infrastructure Senior Consultant/Specialist Senior,Deloitte,"Charlotte, Mecklenburg County",adzuna,Senior,Full-time,On-site,185146.1,185146.1,185146.1,"$185,146-$185,146",False,True,2025-12-20,500,7,r,https://www.adzuna.com/land/ad/5550545029?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=689B4304D313EEAED580F8BE0CA443B5C861406C,2025-12-21 23:43:15,5550545029,Deloitte,"Charlotte, Mecklenburg County","AI Datacenter & Infrastructure Senior Consultant/Specialist Senior-AI & Engineering Join our AI & Engineering team by transforming technology platforms, driving innovation, and helping make a significant impact on our clients' success. You'll collaborate with talented professionals, reimagining and re-engineering operations and processes that are critical to business. Your contributions can help clients improve financial performance, accelerate new digital ventures, and fuel growth through inno…",2025-12-20,2025-12-21T23:43:15.473339,"$185,146 - $185,146",185146.1,185146.1,Full-time,IT Jobs,7fc7fd10bb9bd3fd3f7882e8e84494fc
Onshore SalesForce CRM  RCA Functional,Deloitte,"Five Points, Wake County",adzuna,Mid-level,Full-time,On-site,95023.07,95023.07,95023.07,"$95,023-$95,023",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550545085?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=69CB91E5FFF031622C39AB0B563A732E28CAF881,2025-12-21 23:43:15,5550545085,Deloitte,"Five Points, Wake County","Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced Salesforce CRMRCA Analyst you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you…",2025-12-20,2025-12-21T23:43:15.473339,"$95,023 - $95,023",95023.07,95023.07,Full-time,IT Jobs,246cb2a85db4b51de0e999c2bd007973
Insights and Analytics Consultant,Deloitte,"Charlotte, Mecklenburg County",adzuna,Mid-level,Full-time,On-site,114813.78,114813.78,114813.78,"$114,814-$114,814",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550545063?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=2E940360BE0C2D25D89D1FC5807022DB185F017C,2025-12-21 23:43:15,5550545063,Deloitte,"Charlotte, Mecklenburg County","Insights and Analytics Consultant Our Deloitte Customer team empowers organizations to build deeper relationships with customers through innovative strategies, advanced analytics, Generative AI, transformative technologies, and creative design. We can enhance customer experiences and drive sustained growth and customer value creation and capture, through customer and commercial strategies, digital products and innovation, marketing, commerce, sales, and service. We are a team of strategists, da…",2025-12-20,2025-12-21T23:43:15.473339,"$114,814 - $114,814",114813.78,114813.78,Full-time,"PR, Advertising & Marketing Jobs",70e429811d7435d8cad8d7a15e989c18
Onshore Oracle Field Service Lead,Deloitte,"Charlotte, Mecklenburg County",adzuna,Senior,Full-time,On-site,85161.8,85161.8,85161.8,"$85,162-$85,162",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550545078?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=F37456174AD17C81254FF7A88059022003C5BF0A,2025-12-21 23:43:15,5550545078,Deloitte,"Charlotte, Mecklenburg County","Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced Oracle Field Service Lead you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you…",2025-12-20,2025-12-21T23:43:15.473339,"$85,162 - $85,162",85161.8,85161.8,Full-time,IT Jobs,4b2319d0915ae27747511de6dd78e00c
Adobe Solution Architect (Specialist Leader),Deloitte,"Charlotte, Mecklenburg County",adzuna,Senior,Full-time,On-site,105642.07,105642.07,105642.07,"$105,642-$105,642",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550544953?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=169548BAED6E75B314192413F12464B50350D09D,2025-12-21 23:43:15,5550544953,Deloitte,"Charlotte, Mecklenburg County","Adobe Solution Architect (Specialist Leader) Our Deloitte Customer team empowers organizations to build deeper relationships with customers through innovative strategies, advanced analytics, Generative AI, transformative technologies, and creative design. We can enhance customer experiences and drive sustained growth and customer value creation and capture, through customer and commercial strategies, digital products and innovation, marketing, commerce, sales, and service. We are a team of stra…",2025-12-20,2025-12-21T23:43:15.473339,"$105,642 - $105,642",105642.07,105642.07,Full-time,IT Jobs,a88738cade3a552fbf19624e5c105934
"Data Engineering Manager, Analytics (Monetization)",Meta,"Glendale, Denver",adzuna,Manager,Full-time,On-site,115182.05,115182.05,115182.05,"$115,182-$115,182",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550544946?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=C7285A6805521DB24DF6308AAF5C704F1EAFDFAB,2025-12-21 23:43:15,5550544946,Meta,"Glendale, Denver","Summary: We're looking for a leader in our Data Engineering team to work closely with Product Managers, Data Scientists and Software Engineers to support product launches and roadmaps by building the data architecture that informs and drives insight. In this role, there will be a direct link between your work, company growth, and user satisfaction. You'll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and …",2025-12-20,2025-12-21T23:43:15.473339,"$115,182 - $115,182",115182.05,115182.05,Full-time,IT Jobs,3d2f9aa9a752d864de29f4cd24d3127c
AI/ML Software Engineer,Ge Aerospace,"Uptown, Marion County",adzuna,Mid-level,Full-time,On-site,139739.34,139739.34,139739.34,"$139,739-$139,739",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550544815?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=1E5D651E583EB04ECA63240BECBC73F8E2FB0A5A,2025-12-21 23:43:15,5550544815,GE Aerospace,"Uptown, Marion County","Job Description Summary This role is a hybrid between an AI engineer, data scientist, and software developer, designed for someone who can operate across the full lifecycle of AI system development. You'll play a key role in defining, developing, and evolving software in an agile environment. You'll work across the stack, from crafting intuitive front-end interfaces to building robust back-end services, all while collaborating with a team of talented engineers. You will also have the opportunit…",2025-12-20,2025-12-21T23:43:15.473339,"$139,739 - $139,739",139739.34,139739.34,Full-time,IT Jobs,aa3be670b6d0b2a7db0f1df4d0b9b1d7
"Data Engineering Manager, Analytics (Monetization)",Meta,"Uptown, Marion County",adzuna,Manager,Full-time,On-site,120007.4,120007.4,120007.4,"$120,007-$120,007",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550544524?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=2C45131A7CFD2298D29C2126AF521B8A2C602BF3,2025-12-21 23:43:15,5550544524,Meta,"Uptown, Marion County","Summary: We're looking for a leader in our Data Engineering team to work closely with Product Managers, Data Scientists and Software Engineers to support product launches and roadmaps by building the data architecture that informs and drives insight. In this role, there will be a direct link between your work, company growth, and user satisfaction. You'll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and …",2025-12-20,2025-12-21T23:43:15.473339,"$120,007 - $120,007",120007.4,120007.4,Full-time,IT Jobs,c2d6bc6e5a6e3d67035cb18dc38e11c9
"Data Scientist, Product Analytics",Meta,"Uptown, Marion County",adzuna,Mid-level,Full-time,On-site,172811.97,172811.97,172811.97,"$172,812-$172,812",False,True,2025-12-20,500,4,r,https://www.adzuna.com/land/ad/5550544476?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=D264CA0654DD6807C21C66F7C147CBE093AF7E2D,2025-12-21 23:43:15,5550544476,Meta,"Uptown, Marion County","Summary: As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array o…",2025-12-20,2025-12-21T23:43:15.473339,"$172,812 - $172,812",172811.97,172811.97,Full-time,IT Jobs,45442765ab519b737930344aba8266a9
"Data Engineering Manager, Analytics (Monetization)",Meta,"Phoenix, Maricopa County",adzuna,Manager,Full-time,On-site,93062.95,93062.95,93062.95,"$93,063-$93,063",False,True,2025-12-20,500,5,r,https://www.adzuna.com/land/ad/5550544451?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=22BBA6DB97557BDB4247EE7F6794D5883C636C03,2025-12-21 23:43:15,5550544451,Meta,"Phoenix, Maricopa County","Summary: We're looking for a leader in our Data Engineering team to work closely with Product Managers, Data Scientists and Software Engineers to support product launches and roadmaps by building the data architecture that informs and drives insight. In this role, there will be a direct link between your work, company growth, and user satisfaction. You'll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and …",2025-12-20,2025-12-21T23:43:15.473339,"$93,063 - $93,063",93062.95,93062.95,Full-time,IT Jobs,0dbd261c724e2b60c20273ddc8f7841c
Sr. Computer Vision Engineer,Pepsico,"Plano, Collin County",adzuna,Senior,permanent,On-site,151802.12,151802.12,151802.12,"$151,802-$151,802",False,True,2025-12-20,500,4,r,https://www.adzuna.com/details/5550544448?utm_medium=api&utm_source=41102b43,2025-12-21 23:43:15,5550544448,PepsiCo,"Plano, Collin County","Overview Your role as a Sr. Computer Vision Engineer will be based in Plano, TX to make key contributions to AI projects with a primary focus on computer vision, alongside Natural Language Processing, foundational models and other general AI/ML solutions aligned with PEP AI roadmap within the global digital transformation journey within PepsiCo. You will be part of a collaborative interdisciplinary team around data and analytics, where you will explore new technologies, and design the adoption …",2025-12-20,2025-12-21T23:43:15.473339,"$151,802 - $151,802",151802.12,151802.12,permanent,IT Jobs,fa34827144ee39eab6e9bb708aa912ab
AI/ML Software Engineer,Ge Aerospace,"Detroit, Wayne County",adzuna,Mid-level,Full-time,On-site,128101.98,128101.98,128101.98,"$128,102-$128,102",False,True,2025-12-20,500,3,r,https://www.adzuna.com/land/ad/5550544378?se=DJKft5je8BG434aVLFkWZQ&utm_medium=api&utm_source=41102b43&v=A3B356E70A7E7BB94EA6C111E4D08B56AD9659CC,2025-12-21 23:43:15,5550544378,GE Aerospace,"Detroit, Wayne County","Job Description Summary This role is a hybrid between an AI engineer, data scientist, and software developer, designed for someone who can operate across the full lifecycle of AI system development. You'll play a key role in defining, developing, and evolving software in an agile environment. You'll work across the stack, from crafting intuitive front-end interfaces to building robust back-end services, all while collaborating with a team of talented engineers. You will also have the opportunit…",2025-12-20,2025-12-21T23:43:15.473339,"$128,102 - $128,102",128101.98,128101.98,Full-time,IT Jobs,563ab50f74c02222dc8efa0d908f420b
